"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_RH_SalVentAttnA_Ins_4",305,"RH_SalVentAttn_FrOperIns_4","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_4",292,"SalVentAttnA",260.4,301,130.1,152,184,301
"17Networks_RH_SalVentAttnB_Ins_2",306,"RH_SalVentAttn_FrOperIns_5","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_5",310,"SalVentAttnB",243.9,279,123.1,139,220,279
"17Networks_RH_SalVentAttnA_FrOper_1",307,"RH_SalVentAttn_FrOperIns_6","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_6",293,"SalVentAttnA",214.7,211,107.6,109,186,211
"17Networks_RH_SalVentAttnA_FrOper_2",308,"RH_SalVentAttn_FrOperIns_7","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_7",294,"SalVentAttnA",213.9,209,106.5,107,188,209
"17Networks_RH_SalVentAttnA_FrOper_3",309,"RH_SalVentAttn_FrOperIns_8","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_8",295,"SalVentAttnA",235,253,118.9,129,190,253
"17Networks_RH_SalVentAttnB_PFCl_3",310,"RH_SalVentAttn_PFCl_1","SalVentAttn","7Networks_RH_SalVentAttn_PFCl_1",308,"SalVentAttnB",272.2,318,136.7,160,216,318
"17Networks_RH_SalVentAttnB_PFCmp_2",311,"RH_SalVentAttn_Med_1","SalVentAttn","7Networks_RH_SalVentAttn_Med_1",312,"SalVentAttnB",248.9,285,125.1,142,224,285
"17Networks_RH_SalVentAttnA_FrMed_1",312,"RH_SalVentAttn_Med_2","SalVentAttn","7Networks_RH_SalVentAttn_Med_2",296,"SalVentAttnA",208.4,201.5,105.3,105,192,202
"17Networks_RH_SalVentAttnA_ParMed_2",313,"RH_SalVentAttn_Med_3","SalVentAttn","7Networks_RH_SalVentAttn_Med_3",298,"SalVentAttnA",196.3,183,99.2,89,196,183
"17Networks_RH_SalVentAttnA_FrMed_2",314,"RH_SalVentAttn_Med_4","SalVentAttn","7Networks_RH_SalVentAttn_Med_4",299,"SalVentAttnA",228.6,244,114.8,125,198,244
"17Networks_RH_SalVentAttnA_ParMed_3",315,"RH_SalVentAttn_Med_5","SalVentAttn","7Networks_RH_SalVentAttn_Med_5",300,"SalVentAttnA",148.2,104.5,74,51,200,105
"17Networks_RH_SalVentAttnA_ParMed_4",316,"RH_SalVentAttn_Med_6","SalVentAttn","7Networks_RH_SalVentAttn_Med_6",301,"SalVentAttnA",110.5,62,54.3,30,202,62
"17Networks_RH_SalVentAttnA_FrMed_3",317,"RH_SalVentAttn_Med_7","SalVentAttn","7Networks_RH_SalVentAttn_Med_7",302,"SalVentAttnA",168.5,140,85,69,204,140
"17Networks_RH_SalVentAttnA_FrMed_4",318,"RH_SalVentAttn_Med_8","SalVentAttn","7Networks_RH_SalVentAttn_Med_8",303,"SalVentAttnA",221.6,228,111.7,116,206,228
"17Networks_RH_LimbicB_OFC_1",319,"RH_Limbic_OFC_1","Limbic","7Networks_RH_Limbic_OFC_1",313,"LimbicB",248.5,283,123.8,141,226,283
"17Networks_RH_LimbicB_OFC_2",320,"RH_Limbic_OFC_2","Limbic","7Networks_RH_Limbic_OFC_2",314,"LimbicB",270.5,315,136.8,161,228,315
"17Networks_RH_LimbicB_OFC_3",321,"RH_Limbic_OFC_3","Limbic","7Networks_RH_Limbic_OFC_3",315,"LimbicB",260.5,302.5,130.6,153,230,302
"17Networks_RH_LimbicB_OFC_4",322,"RH_Limbic_OFC_4","Limbic","7Networks_RH_Limbic_OFC_4",316,"LimbicB",277.4,328,139.3,166,232,328
"17Networks_RH_LimbicB_OFC_5",323,"RH_Limbic_OFC_5","Limbic","7Networks_RH_Limbic_OFC_5",317,"LimbicB",215.1,212,107.9,110,234,212
"17Networks_RH_LimbicB_OFC_6",324,"RH_Limbic_OFC_6","Limbic","7Networks_RH_Limbic_OFC_6",318,"LimbicB",289.3,354,146.4,178,236,354
"17Networks_RH_LimbicA_TempPole_1",325,"RH_Limbic_TempPole_1","Limbic","7Networks_RH_Limbic_TempPole_1",319,"LimbicA",231.9,246,116.5,127,238,246
"17Networks_RH_LimbicA_TempPole_2",326,"RH_Limbic_TempPole_2","Limbic","7Networks_RH_Limbic_TempPole_2",320,"LimbicA",262.1,305,132,155,240,305
"17Networks_RH_LimbicA_TempPole_3",327,"RH_Limbic_TempPole_3","Limbic","7Networks_RH_Limbic_TempPole_3",321,"LimbicA",255,292.5,129.2,149,242,292
"17Networks_RH_LimbicA_TempPole_4",328,"RH_Limbic_TempPole_4","Limbic","7Networks_RH_Limbic_TempPole_4",322,"LimbicA",248.2,282,126.3,145,244,282
"17Networks_RH_LimbicA_TempPole_5",329,"RH_Limbic_TempPole_5","Limbic","7Networks_RH_Limbic_TempPole_5",323,"LimbicA",236.6,255,119.5,131.5,246,255
"17Networks_RH_LimbicA_TempPole_6",330,"RH_Limbic_TempPole_6","Limbic","7Networks_RH_Limbic_TempPole_6",324,"LimbicA",242,272,122,137,248,272
"17Networks_RH_DefaultC_PHC_1",331,"RH_Limbic_TempPole_7","Limbic","7Networks_RH_Limbic_TempPole_7",389,"DefaultC",198.4,186,100.1,92,378,186
"17Networks_RH_ContB_IPL_2",332,"RH_Cont_Par_1","Cont","7Networks_RH_Cont_Par_1",339,"ContB",284.5,344,142.7,175,278,344
"17Networks_RH_ContB_IPL_3",333,"RH_Cont_Par_2","Cont","7Networks_RH_Cont_Par_2",340,"ContB",263.5,307,131.9,154,280,307
"17Networks_RH_ContA_IPS_1",334,"RH_Cont_Par_3","Cont","7Networks_RH_Cont_Par_3",325,"ContA",205.3,199,103.2,100,250,199
"17Networks_RH_ContA_IPS_2",335,"RH_Cont_Par_4","Cont","7Networks_RH_Cont_Par_4",326,"ContA",235.8,254,117.7,128,252,254
"17Networks_RH_ContA_IPS_3",336,"RH_Cont_Par_5","Cont","7Networks_RH_Cont_Par_5",327,"ContA",210,203,105.2,104,254,203
"17Networks_RH_ContB_IPL_4",337,"RH_Cont_Par_6","Cont","7Networks_RH_Cont_Par_6",341,"ContB",237.9,258.5,119.3,130,282,258
"17Networks_RH_ContB_Temp_1",338,"RH_Cont_Temp_1","Cont","7Networks_RH_Cont_Temp_1",336,"ContB",332.9,399,168,200,272,399
